Lawrence Township,40.261,-74.7231,371,22491.64,62.5
Dorchester,42.2973,-71.0488,371,24519.75,87.5
Manchester,41.7952,-72.5517,370,26507.34,78.3
Monmouth Junction,40.4111,-74.5411,367,27694.28,69.1
Hanover,42.1226,-70.8252,365,28772.23,32.3
Bayside,40.7599,-73.771,364,41324.71,94.3
Mars,40.6707,-80.0978,363,24650.42,49.8
Lincolnwood,42.0069,-87.7117,363,38846.28,43.6
Warminster,40.2158,-75.073,360,27065.21,41.1
Milford,41.2087,-73.0847,360,30878.26,46.5
Webster,43.2082,-77.4631,358,23242.96,81.4
Medina,43.2088,-78.3869,358,34283.53,52.1
Fall River,41.699,-71.1483,357,24049.04,109.7
Holyoke,42.1821,-72.6381,357,28134.47,77.5
West Nyack,41.0912,-73.9504,356,25281.17,125.0
Morristown,40.8056,-74.4637,353,31516.44,58.4
Silver Spring,39.0811,-76.9471,353,34345.29,67.3
Denville,40.8726,-74.5232,352,29981.43,60.2
Naperville,41.7636,-88.1938,350,34127.37,78.0
Lynnfield,42.5116,-71.0074,348,38245.68,60.3
Albany,42.6794,-73.7892,347,33780.05,95.7
Westbury,40.7558,-73.5539,346,30373.9,84.6
Exton,40.0259,-75.639,346,22694.42,64.6
Chicago,41.9913,-87.6898,345,28717.56,44.1
Butler,40.8547,-79.9788,345,26541.93,64.3
Brockton,42.0546,-71.0583,345,29163.53,67.7
Saco,43.5262,-70.4274,344,29976.19,24.0
Vernon Rockville,41.8157,-72.5059,344,28955.3,57.0
Merrillville,41.4708,-87.3738,343,36015.41,116.2
Troy,42.541,-83.1076,342,30911.6,114.9
Manchester,42.9551,-71.4361,342,39103.68,58.8
Levittown,40.7254,-73.5211,340,40246.53,114.1
Kalamazoo,42.2715,-85.6334,340,34953.5,90.5
Naperville,41.7638,-88.193,339,30838.07,57.2
Brick,40.0845,-74.0956,339,31939.08,117.9
Watchung,40.6434,-74.4127,339,36454.35,144.7
Davison,43.0372,-83.518,338,24154.57,54.2
Youngstown,41.1009,-80.7465,338,34331.32,193.1
Falls Church,38.8691,-77.1762,337,25985.88,74.7
Pontiac,40.8716,-88.6665,337,32690.13,77.9
Clinton Township,42.6276,-82.9339,337,40843.69,78.5
Springfield,40.6853,-74.3232,337,41053.9,53.5
Paramus,40.9439,-74.0711,336,41077.83,106.2
Chicago,41.9268,-87.68,336,32238.26,149.2
Georgetown,38.6985,-75.3992,335,35736.66,136.4
Totowa,40.8938,-74.2344,333,26106.19,100.5
Des Plaines,42.0501,-87.8926,331,33780.21,40.5
Dover,39.1575,-75.512,331,26842.44,134.0
Middletown,41.5905,-72.6757,331,24521.15,72.5
Neptune,40.2282,-74.0679,331,23216.11,89.2
Mendon,42.1032,-71.5623,330,31879.29,68.0
Latham,42.7672,-73.8129,330,27211.35,58.9
Mayfield Heights,41.5201,-81.4614,329,24905.59,56.1
Egg Harbor Township,39.4306,-74.6036,329,23428.13,57.0
Mendon,42.1027,-71.5622,328,33275.63,93.0
Stamford,41.0436,-73.5538,326,29118.46,34.0
Matteson,41.5062,-87.7262,326,26837.8,113.2
Roseville,42.5229,-82.9183,325,25382.0,86.6
Albany,42.6822,-73.794,325,32370.04,79.8
Delaware,40.268,-83.0694,325,30140.01,88.6
Horsham,40.1907,-75.1364,324,33720.55,90.4
Waterford,41.9529,-79.9925,324,31200.82,54.7
Columbiana,40.8881,-80.6886,323,34914.36,66.6
Southfield,42.4979,-83.2866,322,27992.7,86.2
Freeport,40.6558,-73.5944,322,47753.31,49.7
Danbury,41.4125,-73.4108,321,28235.09,28.2
Waterville,44.544,-69.6749,321,26872.8,38.7
North Brunswick,40.4498,-74.4827,320,25236.88,53.9
Saint Charles,41.921,-88.285,320,34855.35,125.7
Wiscasset,43.9912,-69.6897,319,27236.25,143.4
Waterbury,41.5406,-72.9943,319,23131.71,29.5
Elma,42.8536,-78.697,318,33133.44,81.4
Great Neck,40.785,-73.7113,317,55444.84,78.5
Merrillville,41.5073,-87.3232,316,26796.31,41.8
Schenectady,42.771,-73.8932,316,34580.06,133.5
