Delphi,40.5869,-86.6863,2017-10-01,1,1049.0,Low Demand
Attica,42.8641,-78.2827,2017-10-01,1,1051.0,Low Demand
Flint,43.002,-83.7772,2017-11-01,3,1033.0,Low Demand
Rochester,43.1301,-77.4948,2017-11-01,2,1035.5,Low Demand
Ansonia,41.3371,-73.0764,2017-11-01,2,1039.0,Low Demand
Upper Saddle River,41.0524,-74.1192,2017-11-01,2,1021.0,Low Demand
South Amboy,40.4859,-74.2967,2017-11-01,1,1043.0,Low Demand
Newark,40.7625,-74.1674,2017-11-01,1,1036.0,Low Demand
Old Saybrook,41.3078,-72.3818,2017-11-01,1,1021.0,Low Demand
Sunbury,40.8598,-76.7864,2017-11-01,1,1028.0,Low Demand
Norwood,42.1807,-71.1895,2017-11-01,1,1014.0,Low Demand
Warsaw,41.2464,-85.8669,2017-11-01,1,1023.0,Low Demand
Warren,42.5131,-83.0286,2017-11-01,1,1043.0,Low Demand
Canaan,43.6546,-72.1159,2017-11-01,1,1027.0,Low Demand
East Hartford,41.7696,-72.6567,2017-11-01,1,1034.0,Low Demand
Pound Ridge,41.2289,-73.5622,2017-11-01,1,1027.0,Low Demand
Danbury,41.4156,-73.4226,2017-11-01,1,1042.0,Low Demand
Walpole,42.1436,-71.2179,2017-11-01,1,1035.0,Low Demand
Terre Haute,39.4173,-87.4161,2017-11-01,1,1034.0,Low Demand
Hawthorne,41.0981,-73.8083,2017-11-01,1,1032.0,Low Demand
Hinsdale,41.8176,-87.9198,2017-11-01,1,1035.0,Low Demand
North Dartmouth,41.6392,-70.979,2017-11-01,1,1043.0,Low Demand
Haskell,41.0182,-74.2966,2017-11-01,1,1019.0,Low Demand
Youngstown,41.0013,-80.6339,2017-12-01,20,992.0,Low Demand
Taylor,42.2145,-83.2692,2017-12-01,2,984.0,Low Demand
Youngstown,41.007,-80.6627,2017-12-01,2,989.5,Low Demand
Rochester,43.1301,-77.4948,2017-12-01,2,998.5,Low Demand
Warsaw,41.2464,-85.8669,2017-12-01,2,985.0,Low Demand
Farmingdale,44.2579,-69.7748,2017-12-01,2,985.0,Low Demand
Abington,42.0994,-70.9612,2017-12-01,2,998.0,Low Demand
Greenwich,41.0234,-73.6375,2017-12-01,2,992.0,Low Demand
Davisburg,42.7773,-83.496,2017-12-01,2,991.0,Low Demand
Newport,44.843,-69.281,2017-12-01,1,1011.0,Low Demand
Barberton,41.0482,-81.6085,2017-12-01,1,1007.0,Low Demand
Gardner,42.5633,-71.9976,2017-12-01,1,999.0,Low Demand
Hartford,41.7851,-72.6569,2017-12-01,1,1013.0,Low Demand
Warren,42.4868,-82.9675,2017-12-01,1,1007.0,Low Demand
Yonkers,40.9623,-73.8399,2017-12-01,1,1002.0,Low Demand
Du Bois,41.1211,-78.74,2017-12-01,1,1014.0,Low Demand
North Dartmouth,41.6392,-70.979,2017-12-01,1,1005.0,Low Demand
Keyport,40.4248,-74.2019,2017-12-01,1,984.0,Low Demand
Brooklyn,40.614,-73.9275,2017-12-01,1,985.0,Low Demand
Gurnee,42.3839,-87.9568,2017-12-01,1,1009.0,Low Demand
Hawthorne,41.0981,-73.8083,2017-12-01,1,990.0,Low Demand
